document,label
"Una vez construí una maqueta de Machu Picchu con cartón reciclado. Tardé días, pero cuando la llevé al cole, todos se quedaron mirándola.",TRUE
"Ayudé a hacer una parrilla de ladrillo en casa. Fue cansado, pero verla terminada me dio una sensación de logro brutal.",TRUE
"Armé una repisa pequeña para los libros de mi hermana. Me costó al principio, pero ahora la usa todos los días.",TRUE
"Pinté un cuadro grande para el cumpleaños de mi mamá. No soy experta, pero se emocionó tanto que lo colgó en la sala.",TRUE
En mi barrio hicimos un mural entre varios y yo pinté una parte. Fue lo más chévere que he hecho hasta ahora.,TRUE
Prefiero cosas donde pueda pensar o escribir. Una vez intenté hacer origami y terminé frustrada.,FALSE
"La verdad, nunca me ha salido algo bien cuando intento construir o armar cosas. Siempre acabo pidiendo ayuda.",FALSE
No me gusta mucho ensuciarme o lidiar con materiales. Lo mío va más por el lado del orden y planificación.,FALSE
"He intentado, pero me cuesta tener paciencia con manualidades o construcciones. Me aburro rápido.",FALSE
Creo que lo mío va por otro lado.,FALSE
"Me encanta meter mano a esas cosas. Cuando algo se malogra en casa, yo soy el primero en ver qué tiene.",TRUE
"Siempre intento arreglar mis cosas antes de decirle a mis papás. A veces sale bien, a veces no, pero me gusta intentarlo.",TRUE
"Una vez desarmé una radio vieja con mi primo. Aunque no la hicimos funcionar, aprendí bastante del proceso.",TRUE
"Me gusta saber cómo están hechas las cosas, así que cuando algo se rompe, aprovecho para explorar cómo funciona.",TRUE
"Cuando se malogra algo en la casa, me ofrecen ayudar porque soy detallista y me gusta resolver esos temas.",TRUE
Prefiero dejar eso a los que saben. Yo me desespero fácil cuando las cosas no encajan.,FALSE
"No me llama la atención. Si algo se malogra, aviso y me olvido. No tengo paciencia para eso.",FALSE
"Nunca me ha interesado arreglar cosas, me cuesta mucho entender cómo funcionan.",FALSE
"La verdad, cuando veo cables o herramientas me estreso. Siento que no es lo mío.",FALSE
Me parece más fácil comprar uno nuevo o llamar a alguien que sepa. Arreglar no es mi estilo.,FALSE
Me encanta salir a correr o jugar vóley con mis amigas. Me siento con más energía cuando me muevo.,TRUE
No puedo estar quieto. Juego fútbol todos los días después del cole y ayudo en el jardín los fines de semana.,TRUE
"Salir al campo con mi familia es lo mejor. Me gusta caminar, cosechar, lo que sea con tal de no estar encerrado.",TRUE
Siempre estoy en la calle con la bici o jugando con los del barrio. Me gusta sentir que hago algo con el cuerpo.,TRUE
Hago danza folklórica y eso me mantiene activa. Me gusta moverme al ritmo de la música.,TRUE
Prefiero actividades tranquilas. Me gusta leer o estar en la compu más que salir a correr o cosas así.,FALSE
El movimiento no es lo mío. Me canso rápido y además me gusta más estar en casa.,FALSE
"No me gusta mucho estar al aire libre, me molesta el sol y los insectos. Me siento mejor bajo techo.",FALSE
"A veces salgo a caminar, pero no porque me encante. Lo hago solo cuando me obligan.",FALSE
"La verdad, soy más de sofá y series. No me motiva mucho lo físico.",FALSE
"Sí, ayudé a mi papá a instalar unas luces nuevas. Al final funcionaron perfecto y me sentí útil.",TRUE
Participé en la construcción de un gallinero en mi comunidad. Verlo terminado fue una satisfacción increíble.,TRUE
"Cuando remodelamos el salón, ayudé a pintar y poner los carteles. Fue chévere ver cómo todo cambiaba.",TRUE
